id,ticker,company_name,date,open,high,low,close,volume,pe_ratio
1,NXSA,NexaSuite Inc,2026-07-14,142.50,148.20,141.80,147.90,3200000,32.5
2,VNTG,Vantage CRM Holdings,2026-07-14,88.10,89.50,85.20,85.90,1800000,28.0
3,ORBT,OrbitSales Corp,2026-07-15,205.30,212.80,204.00,211.50,2100000,35.8
4,FLWS,FlowStack Technologies,2026-07-15,42.60,43.10,40.50,41.00,950000,24.2
5,MOM3,Momentum360 Inc,2026-07-16,67.80,69.20,67.10,68.90,780000,30.1
6,CLRP,ClearPath Analytics Group,2026-07-16,118.40,125.60,117.90,124.80,1450000,38.4
7,RVLO,Rivalio Systems,2026-07-17,285.00,295.50,283.20,292.60,2800000,42.6
8,SWFT,SwiftCRM Holdings,2026-07-17,19.80,20.10,18.50,18.90,620000,22.5
9,PLSC,PulseCRM Inc,2026-07-18,9.40,9.85,9.30,9.75,410000,19.8
10,LDPT,LeadPilot Technologies,2026-07-18,15.20,15.90,15.00,15.75,290000,21.0
